itemID,templateCreatedWith,templateEditedWith,templateDataVersion,sectionShadowUsed,sectionTextUsed,sectionBackground,numSections,flickr,google,arcgis,unsplash,linkedImage,youtube,vimeo,numMaps,uniqueMaps,numWebScenes,uniqueWebScenes,numImages,numVideos
e1ef18c4d75949f4952543c79a953b99,1.2.0-121016,1.2.0-121216,1.0.0,false,dark,light,2,0,0,0,1,1,0,0,3,3,0,0,1,0
ff4c211e1ddc4827882cb47e3fbe96aa,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,3,0,0,0,0,1,0,0,1,1,0,0,2,0
a5431decaf8f4196a030ed1bb6ef2a76,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,5,0,0,1,0,0,0,0,0,0,0,0,10,0
c0e3bc7a20c4423ea5da6f4ec9352ec4,1.1.3,1.1.3,1.0.0,true,dark,,10,0,0,1,0,0,0,0,0,0,0,0,9,0
d467409f891742cdae0f18cab0bbfb76,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,7,0,0,1,0,0,1,0,0,0,0,0,5,1
ba97abb961d24ffdb5f22f583c92e949,1.2.0-121016,1.2.0-121016,1.0.0,false,dark,light,2,0,0,0,0,1,0,0,1,1,0,0,1,0
bf1e0dc46a664835840c2ff1b4535663,1.1.3,1.1.3,1.0.0,false,light,dark,26,0,0,1,0,0,0,0,4,4,0,0,17,0
1d876747248c4e95a9a11973a6e1d87b,1.1.3,1.5.1,1.0.0,true,light,,12,1,0,1,1,1,1,0,1,1,0,0,20,2
6ef98f48db67430eb76841963d691791,1.1.3,1.5.1,1.0.0,false,dark,light,34,1,0,1,0,1,0,0,0,0,0,0,61,0
7d9dfded1b8e4c289449a9ffd0605b64,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,3,0,0,1,0,0,0,0,2,2,1,1,1,0
033e2af2dbac4cb4b72cf08f1209ebcb,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,3,0,0,0,0,1,0,0,0,0,0,0,10,0
bd71fd8d70dc47ed9dbc8982536e4da5,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,3,1,0,1,0,0,0,0,0,0,0,0,12,0
655f7fec4d8a40c9b594c8112462744d,1.1.3,1.2.0,1.0.0,true,light,,6,0,0,1,0,0,0,0,0,0,0,0,12,0
3258f81fba7f409fa5a643ed00fa71f9,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,3,0,0,1,0,1,0,0,2,1,0,0,3,0
edcb9549dfd24ea99feefa6f0c6faae9,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,16,0,0,0,0,1,0,0,0,0,0,0,11,0
4c8bdf3f07e447aa9497f3fe6306367b,1.1.3,1.1.3,1.0.0,false,light,dark,5,0,0,1,0,0,0,0,0,0,0,0,20,0
20851af508a3477eb3cb2766cf191f09,1.1.3,1.1.3,1.0.0,false,light,dark,15,0,0,0,0,1,0,0,0,0,0,0,8,0
65fb3e7ef368461e9a5a969a97f1bd32,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,3,0,0,0,0,1,0,1,1,1,0,0,5,1
32f527ea633f4c65b50a3925b23da36a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
